Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2012 Spr,Nepal,"Nepal, Bosnia-Herzegovina, Canada, Czech Republic, Denmark, Georgia, Germany, India, USA","Pertemba Sherpa, Asian Trekking Staff",S Col-SE Ridge,Success,24,1,EVER-121-01
2012 Spr,China,"Japan, Hungary, Poland, Sweden, USA","Noriyuki Muraguchi, Asian Trekking Staff",N Col-NE Ridge,Success,7,,EVER-121-02
2012 Spr,Nepal,Nepal,Krishna Bahadur K.C.,S Col-SE Ridge,Success,15,,EVER-121-03
2012 Spr,Nepal,Germany,Richard Brill,S Col-SE Ridge,"Illness, AMS",,,EVER-121-04
2012 Spr,China,Sweden,Petter Hiden-Rudander,N Col-NE Ridge,Success,2,,EVER-121-05
2012 Spr,Nepal,"Canada, New Zealand",Pierre Deroi,S Col-SE Ridge,Success,4,,EVER-121-06
2012 Spr,Nepal,"Switzerland, USA",Ueli Steck,S Col-SE Ridge,Success,2,,EVER-121-07
2012 Spr,Nepal,Nepal,Dendi Sherpa,S Col-SE Ridge,Success,3,,EVER-121-08
2012 Spr,Nepal,Turkey,Muharrem Aydin Irmak,S Col-SE Ridge,Success,1,,EVER-121-09
2012 Spr,Nepal,"UK, France, USA",Rob Casserley,S Col-SE Ridge,Success,14,,EVER-121-10
2012 Spr,Nepal,Spain,Jesus Morales,S Col-SE Ridge,Success,2,,EVER-121-11
2012 Spr,Nepal,"Argentina, USA",Willi Benegas,S Col-SE Ridge,Success,6,,EVER-121-12
2012 Spr,Nepal,Argentina,Mariano Galvan,S Col-SE Ridge,Success,1,,EVER-121-13
2012 Spr,China,Australia,Andrew Lock,N Col-NE Ridge,"Illness, AMS",,,EVER-121-14
2012 Spr,Nepal,Austria,Josef Einwaller,S Col-SE Ridge,Success,3,,EVER-121-15
2012 Spr,Nepal,"UK, Costa Rica, France, Ireland",David Hamilton,S Col-SE Ridge,Success,11,,EVER-121-16
2012 Spr,Nepal,Canada,Monique Richard,S Col-SE Ridge,Success,3,,EVER-121-17
2012 Spr,Nepal,France,Nathalie Lamoureux,S Col-SE Ridge,Bad Weather,,,EVER-121-18
2012 Spr,Nepal,UK,Hugo Searle,S Col-SE Ridge,Bad Conditions,,,EVER-121-19
2012 Spr,Nepal,Netherlands,Peter Boogaard,S Col-SE Ridge,Bad Weather,,,EVER-121-20
2012 Spr,Nepal,India,Bhupesh Hada,S Col-SE Ridge,Success,11,,EVER-121-21
2012 Spr,Nepal,Nepal,Sanjay Pandit,S Col-SE Ridge,Accident,,,EVER-121-22
2012 Spr,China,India,Prem Singh,N Col-NE Ridge,Success,8,,EVER-121-23
2012 Spr,China,Albania,Gjergji Bojaxhi,N Col-NE Ridge,Success,12,,EVER-121-24
2012 Spr,Nepal,"USA, Bangladesh, Lebanon",Chris Klinke,S Col-SE Ridge,Success,4,,EVER-121-25
2012 Spr,China,Ecuador,Patricio Tisalema,N Col-NE Ridge,"Illness, AMS",,,EVER-121-26
2012 Spr,China,"New Zealand, Australia",Jamie McGuinness,N Col-NE Ridge,Success,4,,EVER-121-27
2012 Spr,Nepal,"UK, USA","Paul Keleher, Kenton Cool",S Col-SE Ridge,Success,8,,EVER-121-28
2012 Spr,China,France,Jean Christophe Ludot,N Col-NE Ridge,Success,3,,EVER-121-29
2012 Spr,China,Spain,Ferran Latorre,N Col-NE Ridge,Other,,,EVER-121-30
2012 Spr,China,"Russia, Poland, UAE, UK, Ukraine, USA",Alex Abramov,N Col-NE Ridge,Success,30,,EVER-121-31
2012 Spr,Nepal,S Korea,Park Gye-Hoon,S Col-SE Ridge,Success,6,1,EVER-121-32
2012 Spr,Nepal,USA,David Hahn,S Col-SE Ridge,Success,7,,EVER-121-33
2012 Spr,Nepal,USA,Chad Kellogg,S Col-SE Ridge,"Illness, AMS",,,EVER-121-34
2012 Spr,Nepal,USA,Jake Norton,W Ridge,Bad Conditions,,,EVER-121-35
2012 Spr,Nepal,"USA, Germany, Ireland",Scott Woolums,S Col-SE Ridge,Success,15,,EVER-121-36
2012 Spr,Nepal,Canada,Francois Houde,S Col-SE Ridge,Success,4,,EVER-121-37
2012 Spr,China,China,Wang Tian-Han,N Col-NE Ridge,Other,,,EVER-121-38
2012 Spr,Nepal,India,Kazi Sherpa,S Col-SE Ridge,Success,2,,EVER-121-39
2012 Spr,Nepal,"USA, Canada, Finland, Germany, Latvia, Mexico, Norway, Saudi Arabia, Singapore",Mike Hamill,S Col-SE Ridge,Success,47,,EVER-121-40
2012 Spr,Nepal,India,Neeraj Rana,S Col-SE Ridge,Success,10,,EVER-121-41
2012 Spr,Nepal,India,Shrihari Tapkir,S Col-SE Ridge,Success,7,1,EVER-121-42
2012 Spr,Nepal,"India, Nepal",Umesh Zirpe,S Col-SE Ridge,Success,17,,EVER-121-43
2012 Spr,China,Indonesia,Nurhuda,N Col-NE Ridge,Success,4,,EVER-121-44
2012 Spr,China,"UK, Australia, New Zealand, Russia",Phil Crampton,N Col-NE Ridge,Success,11,,EVER-121-45
2012 Spr,Nepal,"Chile, Mexico",Eugenio Guzman,S Col-SE Ridge,Success,18,,EVER-121-46
2012 Spr,Nepal,"Canada, Nepal",Shriya Shah,S Col-SE Ridge,Success,5,1,EVER-121-47
2012 Spr,Nepal,Iran,Parvaneh Kazemi,S Col-SE Ridge,Success,2,,EVER-121-48
2012 Spr,China,"USA, Australia, France, Switzerland",Dan Mazur,N Col-NE Ridge,Success,7,,EVER-121-49
2012 Spr,Nepal,Iran,Reza Shahlaee,S Col-SE Ridge,Success,2,1,EVER-121-50
2012 Spr,Nepal,Israel,Nadav Ben Yehuda,S Col-SE Ridge,Other,,,EVER-121-51
2012 Spr,Nepal,"Japan, Indonesia",Hiroyuki Kuraoka,S Col-SE Ridge,Bad Weather,,,EVER-121-52
2012 Spr,Nepal,Japan,Eiko Funahashi,S Col-SE Ridge,Did not Climb,,,EVER-121-53
2012 Spr,Nepal,India,Ajay Kothiyal,S Col-SE Ridge,Success,28,,EVER-121-54
2012 Spr,Nepal,Japan,Tateo Yamashita,S Col-SE Ridge,"Illness, AMS",,,EVER-121-55
2012 Spr,Nepal,S Korea,Oh Young-Hoon,S Col-SE Ridge,Success,2,,EVER-121-56
2012 Spr,Nepal,Malaysia,Azlan Jumaan,S Col-SE Ridge,"Illness, AMS",,,EVER-121-57
2012 Spr,Nepal,Mongolia,Ganbaatar Begzsuren,S Col-SE Ridge,Success,7,,EVER-121-58
2012 Spr,Nepal,India,Toolika Rani,S Col-SE Ridge,Success,3,,EVER-121-59
2012 Spr,Nepal,USA,Courtney Richards,S Col-SE Ridge / W Ridge (to 6800m),Success,15,,EVER-121-60
2012 Spr,Nepal,"USA, Sweden, UK",Mark Schwab,S Col-SE Ridge,Success,4,,EVER-121-61
2012 Spr,Nepal,Germany,Ralf Dujmovits,S Col-SE Ridge,Success,2,,EVER-121-62
2012 Spr,China,Mongolia,Bat-Erdene Sereeter,N Col-NE Ridge,Success,2,,EVER-121-63
2012 Spr,Nepal,Norway,Arvid Lahti,S Col-SE Ridge,Success,2,,EVER-121-64
2012 Spr,Nepal,"Netherlands, Australia, Canada, Switzerland, UK, USA",Arnold Coster,S Col-SE Ridge,Success,8,,EVER-121-65
2012 Spr,Nepal,"New Zealand, Australia, Ecuador, France, Latvia, Mexico, Norway, Russia, UK, USA",Russell Brice,S Col-SE Ridge,Bad Conditions,,1,EVER-121-66
2012 Spr,Nepal,"Canada, Australia, Cyprus, Ecuador, New Zealand, Norway, S Africa, Sweden, USA",Tim Rippel,S Col-SE Ridge,Success,17,1,EVER-121-67
2012 Spr,China,"Switzerland, Czech Republic, Germany, UK",Kari Kobler,N Col-NE Ridge,Success,14,,EVER-121-68
2012 Spr,Nepal,"USA, Australia, Ecuador, UK",Garrett Madison,S Col-SE Ridge,Success,14,,EVER-121-69
2012 Spr,Nepal,Italy,Simone Moro,S Col-SE Ridge,Other,,,EVER-121-70
2012 Spr,China,"Poland, Switzerland",Bartolomiez Wroblewski,N Col-NE Ridge,Bad Weather,,,EVER-121-71
2012 Spr,China,Sweden,Lars Sandelius,N Col-NE Ridge,Success,2,,EVER-121-72
2012 Spr,China,Poland,Dariusz Zaluski,N Col-NE Ridge,Success,5,,EVER-121-73
2012 Spr,China,"Russia, Nepal",Alexander Kislitsyn,N Col-NE Ridge,Success,2,,EVER-121-74
2012 Spr,Nepal,"New Zealand, Finland, Norway, Poland, Spain, Sweden, Tanzania, UK",Mike Roberts,S Col-SE Ridge,Success,22,,EVER-121-75
2012 Spr,China,"UK, Canada, Sweden",Chris Szymiec,N Col-NE Ridge,Success,8,,EVER-121-76
2012 Spr,China,Italy,Luigi Rampini,N Col-NE Ridge,Lack of Supplies,,,EVER-121-77
2012 Spr,China,Germany,Ralf Arnold,N Col-NE Ridge,Success,1,1,EVER-121-78
2012 Spr,China,Spain,Juan Jose Polo Carbayo,N Col-NE Ridge,Success,2,1,EVER-121-79
2012 Spr,Nepal,China,Ha Wen-Yi,S Col-SE Ridge,Success,3,1,EVER-121-80
2012 Spr,Nepal,Bangladesh,Mohammad Abdul Mohit,S Col-SE Ridge,Success,3,,EVER-121-81
2012 Spr,Nepal,Nepal,Man Bahadur Khatri,S Col-SE Ridge,Success,3,,EVER-121-82
2012 Spr,Nepal,USA,Jeff Reynolds,S Col-SE Ridge,Success,7,,EVER-121-83
2012 Spr,Nepal,USA,"Charles Lalonde, Robert McDonald",S Col-SE Ridge,Success,4,,EVER-121-84
2012 Spr,Nepal,Japan,Koichi Oyama,S Col-SE Ridge,Success,3,,EVER-121-85
2012 Spr,Nepal,Nepal,Jagannath Timilsina,S Col-SE Ridge,Success,5,,EVER-121-86
2012 Spr,Nepal,Nepal,Sita Kumari Rai,S Col-SE Ridge,"Illness, AMS",,,EVER-121-87
2012 Spr,China,China,Wangchen Sonam,N Col-NE Ridge,Success,34,,EVER-121-88
2012 Spr,China,China,Dong Fan,N Col-NE Ridge,Success,5,,EVER-121-89
2012 Spr,Nepal,India,Rajeev Saumitra,S Col-SE Ridge,Bad Weather,,,EVER-121-90
2012 Spr,China,Canada,Sam Wyatt,N Col-NE Ridge,Success,5,,EVER-121-91
2012 Aut,Nepal,S Korea,Hong Seong-Uk,S Col-SE Ridge,Bad Weather,,,EVER-123-01
2012 Aut,Nepal,Japan,Nobukazu Kuriki,W Ridge,"Illness, AMS",,,EVER-123-02
2013 Spr,Nepal,"Nepal, Argentina, Austria, Brazil, Canada, India, Norway, Poland, UK, USA","Dawa Steven Sherpa, Asian Trekking Staff",S Col-SE Ridge,Success,30,,EVER-131-01
2013 Spr,China,"USA, Austria, China, Japan","Dawes Eddy, Asian Trekking Staff",N Col-NE Ridge,Success,4,,EVER-131-02
2013 Spr,Nepal,Nepal,Sherpa Rope-Fixing,S Col-SE Ridge,Success,13,1,EVER-131-03
2013 Spr,China,Mexico,David Liano,N Col-NE Ridge,Success,2,,EVER-131-04
2013 Spr,Nepal,Mexico,David Liano,S Col-SE Ridge,Success,2,,EVER-131-05
2013 Spr,Nepal,India,Umesh Zirpe,S Col-SE Ridge,Success,7,,EVER-131-06
2013 Spr,Nepal,Peru,Richard Hidalgo,S Col-SE Ridge,Bad Weather,,,EVER-131-07
2013 Spr,Nepal,UK,Farid Razavi-Mehr,S Col-SE Ridge,"Illness, AMS",,,EVER-131-08
2013 Spr,Nepal,"New Zealand, Australia, Austria, Iceland, Sweden, USA, Venezuela",Dean Staples,S Col-SE Ridge,Success,35,,EVER-131-09
2013 Spr,China,"UK/USA, Spain",Adrian Crane,N Col-NE Ridge,"Illness, AMS",,,EVER-131-10
2013 Spr,China,China,Wangchen Sonam,N Col-NE Ridge,Success,29,,EVER-131-11
2013 Spr,Nepal,"S Africa, France, India, USA",Ronnie Muhl,S Col-SE Ridge,Success,7,,EVER-131-12
2013 Spr,Nepal,"UK, Australia, France, Macedonia",Tim Mosedale,S Col-SE Ridge,Success,10,,EVER-131-13
2013 Spr,Nepal,"Spain, Andorra",Carlos Pauner,S Col-SE Ridge,Success,4,,EVER-131-14
2013 Spr,Nepal,"USA, India",Bill Crouse,S Col-SE Ridge,Success,5,,EVER-131-15
2013 Spr,Nepal,Argentina,Ursula Diaz,S Col-SE Ridge,Success,2,,EVER-131-16
2013 Spr,Nepal,S Korea,Woo Seok-Ju,S Col-SE Ridge,Success,2,,EVER-131-17
2013 Spr,Nepal,"Portugal, India",Maria Do Ceu Da Conceicao,S Col-SE Ridge,Success,4,,EVER-131-18
2013 Spr,Nepal,China,Zhang Wei,S Col-SE Ridge,Success,17,1,EVER-131-19
2013 Spr,Nepal,Poland,Greg Michalek,S Col-SE Ridge,Bad Weather,,,EVER-131-20
2013 Spr,Nepal,Japan,Naoko Watanabe,S Col-SE Ridge,Success,2,,EVER-131-21
2013 Spr,Nepal,"Pakistan, India",Mirza Ali Baig,S Col-SE Ridge,Success,10,,EVER-131-22
2013 Spr,Nepal,Singapore,Swee Chiow Khoo,S Col-SE Ridge,"Illness, AMS",,,EVER-131-23
2013 Spr,China,Ecuador,Patricio Tisalema,N Col-NE Ridge,"Illness, AMS",,,EVER-131-24
2013 Spr,Nepal,Finland,Jan Sinivaara,S Col-SE Ridge,Unknown,,,EVER-131-25
2013 Spr,Nepal,India,Neeraj Rana,S Col-SE Ridge,Success,12,,EVER-131-26
2013 Spr,China,Japan,Takashi Morisaki,N Col-NE Ridge,Unknown,,,EVER-131-27
2013 Spr,China,"UK, Ireland",Paul Noble,N Col-NE Ridge,Success,14,,EVER-131-28
2013 Spr,Nepal,Poland,Olga Nabialek,S Col-SE Ridge,Unknown,,,EVER-131-29
2013 Spr,Nepal,Malaysia,Siti Hanisah Sharuddin,S Col-SE Ridge,Success,15,,EVER-131-30
2013 Spr,Nepal,India,Ravindra Kumar,S Col-SE Ridge,Success,1,,EVER-131-31
2013 Spr,Nepal,India,Somit Joshi,S Col-SE Ridge,Success,11,,EVER-131-32
2013 Spr,Nepal,S Korea,Kim Chang-Ho,S Col-SE Ridge,Success,9,1,EVER-131-33
2013 Spr,Nepal,Bangladesh,Mohammad Khaled Hossain,S Col-SE Ridge,Success,1,1,EVER-131-34
2013 Spr,China,Ecuador,Ivan Vallejo,N Col-NE Ridge,Success,3,,EVER-131-35
2013 Spr,Nepal,"USA, Argentina, Brazil",Damian Benegas,S Col-SE Ridge,Success,4,,EVER-131-36
2013 Spr,Nepal,Japan,Yuki Inayoshi,S Col-SE Ridge,Success,2,,EVER-131-37
2013 Spr,Nepal,India,Surjit Singh Leishangthem,S Col-SE Ridge,Success,21,,EVER-131-38
2013 Spr,China,"Canada, Ireland, Norway, USA",Monique Richard,N Col-NE Ridge,Success,4,,EVER-131-39
2013 Spr,Nepal,India,Prem Kumar Singh,S Col-SE Ridge,Success,2,,EVER-131-40
2013 Spr,Nepal,"UK, Germany, USA",Henry Todd,S Col-SE Ridge,"Success (Subpeak, ForeSmt)",4,,EVER-131-41
2013 Spr,Nepal,USA,Scott Woolums,S Col-SE Ridge,Success,5,,EVER-131-42
2013 Spr,Nepal,Nepal,Pemba Dorje Sherpa,S Col-SE Ridge,Success,7,,EVER-131-43
2013 Spr,Nepal,USA,Rory Stark,S Col-SE Ridge,Success,1,,EVER-131-44
2013 Spr,China,Austria,Rupert Hauer,N Col-NE Ridge,Other,,,EVER-131-45
2013 Spr,Nepal,Turkey,Aydin Irmak,S Col-SE Ridge,"Illness, AMS",,,EVER-131-46
2013 Spr,Nepal,France,Natalie Lamoureux,S Col-SE Ridge,Success,2,,EVER-131-47
2013 Spr,Nepal,Russia,Leila Albogachieva,S Col-SE Ridge,Success,3,,EVER-131-48
2013 Spr,Nepal,USA,Chad Kellogg,S Col-SE Ridge,Bad Weather,,,EVER-131-49
2013 Spr,Nepal,Nepal,Min Bahadur Sherchan,S Col-SE Ridge,Did not Climb,,,EVER-131-50
2013 Spr,Nepal,"UK, Russia",Adrian Ballinger,S Col-SE Ridge,Success,6,,EVER-131-51
2013 Spr,Nepal,"Nepal, Australia, Ireland",Sumit Joshi,S Col-SE Ridge,Success,3,,EVER-131-52
2013 Spr,Nepal,UK,Mark Wood,S Col-SE Ridge,Bad Weather,,,EVER-131-53
2013 Spr,Nepal,Japan,Kenji Kondo,S Col-SE Ridge,Success,9,,EVER-131-54
2013 Spr,Nepal,"USA, Indonesia, Poland, Sweden",Christopher Klinke,S Col-SE Ridge,Success,15,,EVER-131-55
2013 Spr,China,UK,William McFatter,N Col-NE Ridge,Success,3,1,EVER-131-56
2013 Spr,Nepal,"USA, Canada",Wally Berg,S Col-SE Ridge,Success,4,,EVER-131-57
2013 Spr,Nepal,Russia,Alexei Bolotov,SW Face,Accident,,1,EVER-131-58
2013 Spr,Nepal,Nepal,Nisha Adhikari,S Col-SE Ridge,Success,2,,EVER-131-59
2013 Spr,Nepal,"India, Nepal",Satish Sharma,S Col-SE Ridge,Success,25,,EVER-131-60
2013 Spr,Nepal,UK,Kenton Cool,S Col-SE Ridge,Success,2,,EVER-131-61
2013 Spr,Nepal,"Brazil, USA",Karina Oliani,S Col-SE Ridge,Success,2,,EVER-131-62
2013 Spr,Nepal,India,"Tusi Das, Chhanda Gayen",S Col-SE Ridge,Success,4,,EVER-131-63
2013 Spr,Nepal,Ecuador,Santiago Quintero,S Col-SE Ridge,Success,3,,EVER-131-64
2013 Spr,Nepal,Nepal,Sanjay Pandit,S Col-SE Ridge,Success,2,,EVER-131-65
2013 Spr,Nepal,"USA, Iran, Palestine, Qatar",Michael Horst,S Col-SE Ridge,Success,7,,EVER-131-66
2013 Spr,Nepal,USA,Melissa Arnot,S Col-SE Ridge,Success,2,,EVER-131-67
2013 Spr,Nepal,"USA, Australia, Canada, Netherlands, Saudi Arabia, Switzerland",Garrett Madison,S Col-SE Ridge,Success,25,,EVER-131-68
2013 Spr,Nepal,Spain,Inigo Castineyra,S Col-SE Ridge,Bad Weather,,,EVER-131-69
2013 Spr,Nepal,Guatemala,Barbara Padilla Del Aguila,S Col-SE Ridge,Lack of Supplies,,,EVER-131-70
2013 Spr,Nepal,"Canada, Australia, Belgium, Ecuador, India, New Zealand, S Africa, USA",Tim Rippel,S Col-SE Ridge,Success,13,,EVER-131-71
2013 Spr,Nepal,"UK, Canada, Morocco, Norway",David Hamilton,S Col-SE Ridge,Success,24,,EVER-131-72
2013 Spr,China,Germany,Werner Goering,N Col-NE Ridge,Success,4,,EVER-131-73
2013 Spr,China,USA,Ruben Payan,N Col-NE Ridge,Success,2,,EVER-131-74
2013 Spr,China,"UK, Australia, Denmark, Lithuania, Spain, USA",Phil Crampton,N Col-NE Ridge,Success,11,,EVER-131-75
2013 Spr,Nepal,"USA, Canada",David Hahn,S Col-SE Ridge,Success,5,,EVER-131-76
2013 Spr,China,"Switzerland, Germany, Ecuador, Italy",Kari Kobler,N Col-NE Ridge,Success,14,,EVER-131-77
2013 Spr,Nepal,Japan,Yuchiro Miura,S Col-SE Ridge,Success,11,,EVER-131-78
2013 Spr,Nepal,"New Zealand, China, Germany, Japan, Latvia, Mexico, Switzerland, UK",Russell Brice,S Col-SE Ridge,Success,24,,EVER-131-79
2013 Spr,Nepal,"USA, Ireland, Poland, UK",Dan Mazur,S Col-SE Ridge,Success,11,,EVER-131-80
2013 Spr,Nepal,"USA, Australia, Austria, China, Germany, Japan, Norway, UK",Greg Vernovage,S Col-SE Ridge,Success,42,1,EVER-131-81
2013 Spr,Nepal,Nepal,Arjun Karki,S Col-SE Ridge,Success,2,,EVER-131-82
2013 Spr,China,"Netherlands, Australia, China, Denmark, Iceland, Mauritius, Sweden, Switzerland, UK, USA",Arnold Coster,N Col-NE Ridge,Success,21,,EVER-131-83
2013 Spr,Nepal,"Italy, Switzerland, UK",Simone Moro,SW Face,Other,,,EVER-131-84
2013 Spr,China,"Russia, Azerbaijan, Kazakhstan, Poland, UK, Ukraine",Alex Abramov,N Col-NE Ridge,Success,21,1,EVER-131-85
2013 Spr,Nepal,"India, Nepal","Ranveer Singh Jamwal, Sunil Singh Rathore",S Col-SE Ridge,Success,43,,EVER-131-86
2013 Spr,Nepal,India,Ujjal Ray,S Col-SE Ridge,Success,4,,EVER-131-87
2013 Spr,Nepal,India,Neeraj Rana,S Col-SE Ridge,Success,2,,EVER-131-88
2013 Spr,China,France,Marion Chaygneaud-Dupuy,N Col-NE Ridge,Success,3,,EVER-131-89
2013 Spr,Nepal,Nepal,Lakpa Nurbu Sherpa,S Col-SE Ridge,Success,2,,EVER-131-90
2014 Spr,Nepal,"Nepal, Australia, Austria, Belgium, China, Denmark, France, India, Poland, S Africa, USA","Dawa Steven Sherpa, Asian Trekking Staff",S Col-SE Ridge,Other,,,EVER-141-01
2014 Spr,China,"USA, Belgium, Bulgaria, France, Hungary, India, Nepal, Poland, Russia","William Burke, Asian Trekking",N Col-NE Ridge,Success,11,,EVER-141-02
2014 Spr,Nepal,"USA, Nepal",Melissa Arnot,S Col-SE Ridge,Accident,,,EVER-141-03
2014 Spr,Nepal,"USA, Australia, UK",Kevin Jackson,S Col-SE Ridge,Other,,,EVER-141-04
2014 Spr,Nepal,"USA, Australia",Jim Williams,S Col-SE Ridge,Other,,,EVER-141-05
2014 Spr,Nepal,"USA, UK",Ben Jones,S Col-SE Ridge,Other,,2,EVER-141-06
2014 Spr,Nepal,"UK, Australia, France",Chris Groves,S Col-SE Ridge,Other,,1,EVER-141-07
2014 Spr,Nepal,USA,Garrett Madison,S Col-SE Ridge,Accident,,3,EVER-141-08
2014 Spr,Nepal,"Canada, Australia, Belgium, India, Myanmar, Netherlands, Norway",Tim Rippel,S Col-SE Ridge,Other,,1,EVER-141-09
2014 Spr,Nepal,"USA, Canada, China, Poland",David Hahn,S Col-SE Ridge,Other,,,EVER-141-10
2014 Spr,Nepal,"Chile, Argentina",Eugenio Guzman,S Col-SE Ridge,Other,,,EVER-141-11
2014 Spr,Nepal,"Malaysia, Belgium",Azim Afif Ishak,S Col-SE Ridge,Other,,,EVER-141-12
2014 Spr,Nepal,"New Zealand, Switzerland, USA",Mike Roberts,S Col-SE Ridge,Accident,,,EVER-141-13
2014 Spr,Nepal,"New Zealand, Australia, Iceland, Japan, Nepal, UK, Ukraine",Dean Staples,S Col-SE Ridge,Accident,,4,EVER-141-14
2014 Spr,Nepal,"UK, Canada, China, New Zealand, USA",Phil Crampton,S Col-SE Ridge,Other,,,EVER-141-15
2014 Spr,Nepal,"New Zealand, Australia, China, Japan, Norway, UK, USA","Russell Brice, Mark Woodward",S Col-SE Ridge,Other,,,EVER-141-16
2014 Spr,Nepal,Canada,Joe Raftis,S Col-SE Ridge,Other,,,EVER-141-17
2014 Spr,Nepal,"USA, Canada, Germany, Guatemala, USA",Damian Benegas,S Col-SE Ridge,Accident,,,EVER-141-18
2014 Spr,Nepal,"USA, Belgium, Canada, India, UK",Dan Mazur,S Col-SE Ridge,Other,,,EVER-141-19
2014 Spr,China,Germany,Ralf Dujmovits,N Col-NE Ridge,Bad Weather,,,EVER-141-20
2014 Spr,China,China,Wangchen Sonam,N Col-NE Ridge,Success,29,,EVER-141-21
2014 Spr,China,Malta,Gregory Attard,N Col-NE Ridge,Success,8,,EVER-141-22
2014 Spr,Nepal,"USA, Brazil, Germany, Guatemala",Joe Butler,S Col-SE Ridge,Other,,,EVER-141-23
2014 Spr,Nepal,"UK, Canada",Rob Casserley,S Col-SE Ridge,Other,,,EVER-141-24
2014 Spr,Nepal,UK,Tim Calder,S Col-SE Ridge,Other,,,EVER-141-25
2014 Spr,Nepal,UK,Tim Mosedale,S Col-SE Ridge,Other,,,EVER-141-26
2014 Spr,China,Brazil,Axel Cezar,N Col-NE Ridge,Bad Weather,,,EVER-141-27
2014 Spr,China,Germany,Juergen Greher,N Col-NE Ridge,Bad Weather,,,EVER-141-28
2014 Spr,China,"Switzerland, Austria, France, Germany, Norway, Poland",Kari Kobler,N Col-NE Ridge,Success,19,,EVER-141-29
2014 Spr,Nepal,Australia,Andrew Lock,S Col-SE Ridge,Other,,,EVER-141-30
2014 Spr,Nepal,UK,Melanie Southworth,S Col-SE Ridge,Other,,,EVER-141-31
2014 Spr,Nepal,"Netherlands, Germany, Mauritius, Sweden",Arnold Coster,S Col-SE Ridge,Other,,,EVER-141-32
2014 Spr,Nepal,"Japan, China, Pakistan, Romania",Yachiyo Suzuki,S Col-SE Ridge,Other,,,EVER-141-33
2014 Spr,Nepal,China,Zhang Jing-Chuan,S Col-SE Ridge,Accident,,2,EVER-141-34
2014 Spr,Nepal,India,Pradeep Chandra Sahoo,S Col-SE Ridge,Other,,,EVER-141-35
2014 Spr,Nepal,S Korea,Heo Young-Ho,S Col-SE Ridge,Other,,,EVER-141-36
2014 Spr,Nepal,China,Liu Yong,S Col-SE Ridge,Other,,,EVER-141-37
2014 Spr,Nepal,"Italy, Chile, Finland, India, New Zealand, USA",Francesco Rovetta,S Col-SE Ridge,Other,,,EVER-141-38
2014 Spr,Nepal,India,Lipika Biswas,S Col-SE Ridge,Other,,,EVER-141-39
2014 Spr,Nepal,Japan,Muneo Nukita,S Col-SE Ridge,Not to Reach BC,,,EVER-141-40
2014 Spr,Nepal,"Russia, Kazakhstan",Mariana Kyrgys,S Col-SE Ridge,Other,,,EVER-141-41
2014 Spr,Nepal,India,Umesh Zirpe,S Col-SE Ridge,Other,,,EVER-141-42
2014 Spr,Nepal,S Korea,Cha Jin-Chol,S Col-SE Ridge,Other,,,EVER-141-43
2014 Spr,Nepal,"USA, Australia, Brazil, Canada, Germany, Italy, Mexico, Morocco, New Zealand, Norway, UK",Greg Vernovage,S Col-SE Ridge,Other,,,EVER-141-44
2014 Spr,Nepal,Iran,Alireza Behpour,S Col-SE Ridge,Other,,,EVER-141-45
2014 Spr,Nepal,"Brazil, USA",Carlos Santalena,S Col-SE Ridge,Accident,,1,EVER-141-46
2014 Spr,Nepal,USA,Chase Lochmiller,S Col-SE Ridge,Other,,,EVER-141-47
2014 Spr,Nepal,"UK, France, USA",Adrian Ballinger,S Col-SE Ridge,Other,,,EVER-141-48
2014 Spr,Nepal,Germany,David Goettler,S Col-SE Ridge,Not to Reach BC,,,EVER-141-49
2014 Spr,Nepal,"USA, Canada, Turkey, UK",Eric Murphy,S Col-SE Ridge,Accident,,3,EVER-141-50
2014 Spr,Nepal,"S Africa, Australia, India",Ronnie Muhl,S Col-SE Ridge,Other,,,EVER-141-51
2014 Spr,China,India,Shekhar Bachinepally,N Col-NE Ridge,Success,9,,EVER-141-52
2014 Spr,China,"Ireland, Australia, UK",Robert Smith,N Col-NE Ridge,Success,4,,EVER-141-53
2014 Spr,China,"Slovakia, Romania",Peter Hamor,N Col-NE Ridge,Bad Weather,,,EVER-141-54
2014 Spr,Nepal,"Ireland, Japan, Norway, UK, USA",Paul Devaney,S Col-SE Ridge,Other,,,EVER-141-55
2014 Spr,Nepal,Japan,Eiko Funahashi,S Col-SE Ridge,Other,,,EVER-141-56
2014 Spr,Nepal,France,Paul Thierry Valin,S Col-SE Ridge,Other,,,EVER-141-57
2014 Spr,Nepal,Iceland,Ingolfur Axelsson,S Col-SE Ridge,Other,,,EVER-141-58
2014 Spr,Nepal,Nepal,Kame Magar,S Col-SE Ridge,Other,,,EVER-141-59
2014 Spr,Nepal,Argentina,Ulises Corvalan,S Col-SE Ridge,Other,,,EVER-141-60
2014 Spr,Nepal,China,Wang Jing,S Col-SE Ridge,Success,4,,EVER-141-61
2014 Spr,Nepal,"UK, Kenya, USA",Toby Storie-Pugh,S Col-SE Ridge,Other,,,EVER-141-62
2014 Spr,China,Switzerland,Olivier Ruembelli,N Col-NE Ridge,"Illness, AMS",,,EVER-141-63
2014 Spr,China,"Poland, France",Waldemar Kowalewski,N Col-NE Ridge,Success,6,,EVER-141-64
